district,sub_district,community,Cash,Education,FSL,Nutrition,Protection,SNFI,WASH,CCCM,ERL,beneficiary_frequencies,total_pop,admin4pcode
Menbij,Menbij,Halisiyeh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600,C1728
Menbij,Menbij,Ein Elnakhil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1160,C1729
Menbij,Menbij,Um Adaset Elfarat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,C1730
Menbij,Menbij,Big Hayyeh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5500,C1731
Menbij,Menbij,Little Arbaa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,935,C1732
Menbij,Menbij,Little Kharufiyeh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,780,C1733
Menbij,Menbij,Um Myal Jafatlak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1950,C1734
Menbij,Menbij,Sghireh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1330,C1735
Menbij,Menbij,Um Myal Miri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,C1736
Menbij,Menbij,Sayada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1035,C1737
Menbij,Menbij,Mankubeh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2075,C1738
Menbij,Menbij,Rasm Elakhdar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7055,C1739
Menbij,Menbij,Abu Mandil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1130,C1740
Menbij,Menbij,Jota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1475,C1741
Menbij,Menbij,Ratwaniyeh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565,C1742
Menbij,Menbij,Shweihet Kheznawi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1925,C1743
Menbij,Menbij,Janat Abu Jadha Jarkas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,C1745
Menbij,Menbij,Um Edam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1125,C1746
Menbij,Menbij,Kabiret Manbaj - Bashli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C1748
Menbij,Menbij,Big Tahna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,C1749
Menbij,Menbij,Sheikh Yehya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650,C1750
Menbij,Menbij,Abu Tawil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,C1751
Menbij,Menbij,Little Hayyeh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1610,C1752
Menbij,Menbij,Safi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,625,C1753
Menbij,Menbij,Big Kharufiyeh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1205,C1754
Menbij,Menbij,Hajar Abyad (Menbij),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2085,C1755
Menbij,Menbij,Big Jern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,975,C1756
Menbij,Menbij,Abu Kahf (Abu Kahf),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1765,C1757
Menbij,Menbij,Arnabiet Doshan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,875,C1758
