admin1pcode,governorate,admin2pcode,district,admin3pcode,sub_district,admin4pcode,community,is_2022,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,cumulative,activity,cluster
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1081,Big Bayaa,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1082,Big Bweideh,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1083,Rasm Elsafa,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1084,Um Qrun - Um Jaran,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1085,Sfira,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1086,Anu Mreir,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1087,Um Graf,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1088,Shweihet Elbu Issa,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1089,Mintar (Tall Ed-daman),NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1090,Eastern Atshana,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1091,Um Gobar,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
